TEMPLATE	1507328
[	917512
מפנה	6755402145988608
,	917513
בן	115654879870976
-	655360
גוריון	655360
]	917505
TEMPLATE	1507328
[	917512
מנהיג	1093009408
,	917513
שם	131072
=	917504
דוד	655360
בן	115654879870976
גוריון	655360
,	917513
סוג	1093009408
=	917504
[	917512
[	917512
ראש	1093009408
ממשלת	6755402148085824
ישראל	655360
,	917513
ראש	1093009408
ממשלת	6755402148085824
]	917505
]	917505
,	917513
מדינה	1095106560
=	917504
[	917512
[	917512
ישראל	655360
]	917505
]	917505
,	917513
למניין	1093009472
=	917504
1	475136
,	917513
תמונה	1095106560
=	917504
[	917512
[	917512
קובץ	1093009408
:	919553
David	1507328
BG	1507328
.	917632

jpg	1507328
,	917513
200	475136
px	1507328
]	917505
]	917505
,	917513
מנהיג	1093009408
קודם	131072
=	917504
אין	327680
(	917512
כהונה	1095106560
ראשונה	1095176192
)	917505
[	917512
[	917512
משה	655360
שרת	655360
]	917505
]	917505
(	917512
כהונה	1095106560
שנייה	1095176192
)	917505
,	917513
מנהיג	1093009408
הבא	1092681732
אחריו	110707077545984
=	917504
[	917512
[	917512
משה	655360
שרת	655360
]	917505
]	917505
(	917512
כהונה	1095106560
ראשונה	1095176192
)	917505
[	917512
[	917512
לוי	655360
אשכול	655360
]	917505
]	917505
(	917512
כהונה	1095106560
שנייה	1095176192
)	917505
,	917513
תחילת	2168848384
כהונה	1095106560
=	917504
[	917512
[	917512
14	475136
במאי	655360
]	917505
]	917505
[	917512
[	917512
1948	475136
]	917505
]	917505
(	917512
כהונה	1095106560
ראשונה	1095176192
)	917505
[	917512
[	917512
3	475136
בנובמבר	655424
]	917505
]	917505
[	917512
[	917512
1955	475136
]	917505
]	917505
(	917512
כהונה	1095106560
שנייה	1095176192
)	917505

'	917640
'	917640
'	917640
נשיאים	1109786624
:	919553
'	917640
'	917640
'	917640
[	917512
[	917512
חיים	655360
ויצמן	655360
]	917505
]	917505
[	917512
[	917512
1948	475136
]	917505
]	917505
-	919561
[	917512
[	917512
1952	475136
]	917505
]	917505
,	917513
[	917512
[	917512
יצחק	655360
בן	115654879870976
צבי	655360
]	917505
]	917505
1952	475136
-	919561
[	917512
[	917512
1963	475136
]	917505
]	917505
,	917513
[	917512
[	917512
זלמן	655360
שזר	655360
]	917505
]	917505
1963	475136
,	917513
סוף	1048576
כהונה	1095106560
=	917504
[	917512
[	917512
26	475136
בינואר	655424
]	917505
]	917505
[	917512
[	917512
1954	475136
]	917505
]	917505
(	917512
כהונה	1095106560
ראשונה	1095176192
)	917505
[	917512
[	917512
16	475136
ביוני	41301498527808
]	917505
]	917505
[	917512
[	917512
1963	475136
]	917505
]	917505
(	917512
כהונה	1095106560
שנייה	1095176192
